--- Report Estrazione PDF: the-witcher-tomo-del-caos.pdf ---
Data: 2026-04-16 09:33:54

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: R226 | Dim: 1261x1656px | CS: DeviceRGB
Pag123_L123_Acquistare Oggetti Magici_04.png | Nome PDF: R2458 | Dim: 311x525px | CS: DeviceRGB
Pag124_L124_Trofei_01.png | Nome PDF: R2475 | Dim: 559x1083px | CS: DeviceRGB
Pag125_L125_Trofei_01.png | Nome PDF: R2491 | Dim: 967x1083px | CS: DeviceRGB
Pag126_L126_Trofei_01.png | Nome PDF: R2499 | Dim: 1227x1586px | CS: DeviceRGB
Pag128_L128_Introduzione alle Arti Oscure_01.png | Nome PDF: R2529 | Dim: 972x736px | CS: DeviceGray
Pag128_L128_Introduzione alle Arti Oscure_02.png | Nome PDF: R2534 | Dim: 701x910px | CS: DeviceGray
Pag128_L128_Introduzione alle Arti Oscure_03.png | Nome PDF: R2535 | Dim: 701x910px | CS: DeviceRGB
Pag129_L129_Necromanzia_01.png | Nome PDF: R2547 | Dim: 1227x672px | CS: DeviceRGB
Pag130_L130_Necromanzia_01.png | Nome PDF: R2562 | Dim: 313x1082px | CS: DeviceRGB
Pag130_L130_Necromanzia_02.png | Nome PDF: R2565 | Dim: 372x1082px | CS: DeviceRGB
Pag131_L131_Necromanzia_01.png | Nome PDF: R2580 | Dim: 729x1363px | CS: DeviceRGB
Pag131_L131_Necromanzia_02.png | Nome PDF: R2582 | Dim: 1072x391px | CS: DeviceRGB
Pag133_L133_Necromanzia_01.png | Nome PDF: R2609 | Dim: 729x1363px | CS: DeviceRGB
Pag134_L134_Mutazione_01.png | Nome PDF: R2621 | Dim: 1227x653px | CS: DeviceRGB
Pag135_L135_Mutazione_01.png | Nome PDF: R2634 | Dim: 639x467px | CS: DeviceRGB
Pag135_L135_Mutazione_02.png | Nome PDF: R2635 | Dim: 581x467px | CS: DeviceRGB
Pag135_L135_Mutazione_03.png | Nome PDF: R2637 | Dim: 343x802px | CS: DeviceRGB
Pag136_L136_Mutazione_01.png | Nome PDF: R2652 | Dim: 729x1362px | CS: DeviceRGB
Pag138_L138_Mutazione_01.png | Nome PDF: R2677 | Dim: 727x939px | CS: DeviceRGB
Pag138_L138_Mutazione_02.png | Nome PDF: R2678 | Dim: 1160x334px | CS: DeviceGray
Pag138_L138_Mutazione_03.png | Nome PDF: R2683 | Dim: 302x1094px | CS: DeviceGray
Pag138_L138_Mutazione_04.png | Nome PDF: R2684 | Dim: 302x1094px | CS: DeviceRGB
Pag139_L139_Goezia_01.png | Nome PDF: R2696 | Dim: 1227x725px | CS: DeviceRGB
Pag140_L140_Goezia_01.png | Nome PDF: R2709 | Dim: 727x1010px | CS: DeviceRGB
Pag141_L141_Goezia_01.png | Nome PDF: R2723 | Dim: 995x802px | CS: DeviceRGB
Pag142_L142_Goezia_01.png | Nome PDF: R2738 | Dim: 504x504px | CS: DeviceGray
Pag142_L142_Goezia_02.png | Nome PDF: R2743 | Dim: 463x479px | CS: DeviceGray
Pag142_L142_Goezia_03.png | Nome PDF: R2744 | Dim: 463x479px | CS: DeviceRGB
Pag143_L143_Goezia_01.png | Nome PDF: R2759 | Dim: 600x448px | CS: DeviceGray
Pag143_L143_Goezia_02.png | Nome PDF: R2764 | Dim: 555x428px | CS: DeviceGray
Pag143_L143_Goezia_03.png | Nome PDF: R2765 | Dim: 555x428px | CS: DeviceRGB
Pag143_L143_Goezia_04.png | Nome PDF: R2767 | Dim: 425x702px | CS: DeviceRGB
Pag144_L144_Goezia_01.png | Nome PDF: R2782 | Dim: 596x540px | CS: DeviceGray
Pag144_L144_Goezia_02.png | Nome PDF: R2787 | Dim: 548x512px | CS: DeviceGray
Pag144_L144_Goezia_03.png | Nome PDF: R2788 | Dim: 548x512px | CS: DeviceRGB
Pag144_L144_Goezia_04.png | Nome PDF: R2791 | Dim: 614x1363px | CS: DeviceRGB
Pag145_L145_Goezia_01.png | Nome PDF: R2804 | Dim: 1156x340px | CS: DeviceGray
Pag145_L145_Goezia_02.png | Nome PDF: R2809 | Dim: 1100x327px | CS: DeviceGray
Pag145_L145_Goezia_03.png | Nome PDF: R2810 | Dim: 1100x327px | CS: DeviceRGB
Pag145_L145_Goezia_04.png | Nome PDF: R2811 | Dim: 5x1363px | CS: DeviceRGB
Pag145_L145_Goezia_05.png | Nome PDF: R2814 | Dim: 86x1084px | CS: DeviceRGB
Pag145_L145_Goezia_06.png | Nome PDF: R2817 | Dim: 108x1084px | CS: DeviceRGB
Pag146_L146_Goezia_01.png | Nome PDF: R2832 | Dim: 560x505px | CS: DeviceGray
Pag146_L146_Goezia_02.png | Nome PDF: R2837 | Dim: 506x470px | CS: DeviceGray
Pag146_L146_Goezia_03.png | Nome PDF: R2838 | Dim: 506x470px | CS: DeviceRGB
Pag146_L146_Goezia_04.png | Nome PDF: R2839 | Dim: 556x704px | CS: DeviceGray
Pag146_L146_Goezia_05.png | Nome PDF: R2844 | Dim: 497x663px | CS: DeviceGray
Pag146_L146_Goezia_06.png | Nome PDF: R2845 | Dim: 497x663px | CS: DeviceRGB
Pag146_L146_Goezia_07.png | Nome PDF: R2850 | Dim: 224x526px | CS: DeviceRGB
Pag146_L146_Goezia_08.png | Nome PDF: R2853 | Dim: 401x526px | CS: DeviceRGB
Pag146_L146_Goezia_09.png | Nome PDF: R2857 | Dim: 64x1084px | CS: DeviceRGB
Pag147_L147_Goezia_01.png | Nome PDF: R2872 | Dim: 576x556px | CS: DeviceGray
Pag147_L147_Goezia_02.png | Nome PDF: R2877 | Dim: 522x520px | CS: DeviceGray
Pag147_L147_Goezia_03.png | Nome PDF: R2878 | Dim: 522x520px | CS: DeviceRGB
Pag147_L147_Goezia_04.png | Nome PDF: R2883 | Dim: 247x526px | CS: DeviceRGB
Pag147_L147_Goezia_05.png | Nome PDF: R2886 | Dim: 268x526px | CS: DeviceRGB
Pag147_L147_Goezia_06.png | Nome PDF: R2891 | Dim: 130x1084px | CS: DeviceRGB
Pag147_L147_Goezia_07.png | Nome PDF: R2896 | Dim: 556x522px | CS: DeviceGray
Pag147_L147_Goezia_08.png | Nome PDF: R2901 | Dim: 499x484px | CS: DeviceGray
Pag147_L147_Goezia_09.png | Nome PDF: R2902 | Dim: 499x484px | CS: DeviceRGB
Pag148_L148_Goezia_01.png | Nome PDF: R2917 | Dim: 600x487px | CS: DeviceGray
Pag148_L148_Goezia_02.png | Nome PDF: R2922 | Dim: 547x454px | CS: DeviceGray
Pag148_L148_Goezia_03.png | Nome PDF: R2923 | Dim: 547x454px | CS: DeviceRGB
Pag148_L148_Goezia_04.png | Nome PDF: R2927 | Dim: 313x526px | CS: DeviceRGB
Pag148_L148_Goezia_05.png | Nome PDF: R2939 | Dim: 1152x279px | CS: DeviceGray
Pag148_L148_Goezia_06.png | Nome PDF: R2944 | Dim: 1094x257px | CS: DeviceGray
Pag148_L148_Goezia_07.png | Nome PDF: R2945 | Dim: 1094x257px | CS: DeviceRGB
Pag149_L149_Goezia_01.png | Nome PDF: R2964 | Dim: 1156x326px | CS: DeviceGray
Pag149_L149_Goezia_02.png | Nome PDF: R2969 | Dim: 1098x309px | CS: DeviceGray
Pag149_L149_Goezia_03.png | Nome PDF: R2970 | Dim: 1098x309px | CS: DeviceRGB
Pag149_L149_Goezia_04.png | Nome PDF: R2978 | Dim: 240x1084px | CS: DeviceRGB
Pag150_L150_Ritratto dell’Artista_01.png | Nome PDF: R2992 | Dim: 1229x1586px | CS: DeviceRGB
Pag150_L150_Ritratto dell’Artista_02.png | Nome PDF: R2993 | Dim: 1229x170px | CS: DeviceRGB
Pag151_L151_Ritratto dell’Artista_01.png | Nome PDF: R3006 | Dim: 6x1586px | CS: DeviceRGB
Pag152_L152_Ritratto dell’Artista_01.png | Nome PDF: R3012 | Dim: 1227x1587px | CS: DeviceRGB
Pag154_L154_Artorius Vigo_01.png | Nome PDF: R3041 | Dim: 390x956px | CS: DeviceRGB
Pag154_L154_Artorius Vigo_02.png | Nome PDF: R3048 | Dim: 351x390px | CS: DeviceRGB
Pag154_L154_Artorius Vigo_03.png | Nome PDF: R3051 | Dim: 323x257px | CS: DeviceRGB
Pag154_L154_Artorius Vigo_04.png | Nome PDF: R3054 | Dim: 582x257px | CS: DeviceRGB
Pag154_L154_Artorius Vigo_05.png | Nome PDF: R3057 | Dim: 234x123px | CS: DeviceRGB
Pag154_L154_Artorius Vigo_06.png | Nome PDF: R3060 | Dim: 233x124px | CS: DeviceRGB
Pag154_L154_Artorius Vigo_07.png | Nome PDF: R3063 | Dim: 802x201px | CS: DeviceRGB
Pag155_L155_Bronwyn Occhiofino_01.png | Nome PDF: R3077 | Dim: 391x956px | CS: DeviceRGB
Pag155_L155_Bronwyn Occhiofino_02.png | Nome PDF: R3086 | Dim: 802x185px | CS: DeviceRGB
Pag155_L155_Bronwyn Occhiofino_03.png | Nome PDF: R3093 | Dim: 233x123px | CS: DeviceRGB
Pag155_L155_Bronwyn Occhiofino_04.png | Nome PDF: R3096 | Dim: 233x124px | CS: DeviceRGB
Pag156_L156_Cadfan di Ebbing_01.png | Nome PDF: R3126 | Dim: 802x179px | CS: DeviceRGB
Pag156_L156_Cadfan di Ebbing_02.png | Nome PDF: R3129 | Dim: 391x609px | CS: DeviceRGB
Pag157_L157_Dormyn di Gemmera_01.png | Nome PDF: R3147 | Dim: 392x985px | CS: DeviceRGB
Pag158_L158_Dorregaray di Vole_01.png | Nome PDF: R3163 | Dim: 802x223px | CS: DeviceRGB
Pag158_L158_Dorregaray di Vole_02.png | Nome PDF: R3166 | Dim: 387x552px | CS: DeviceRGB
Pag159_L159_Drystan di Nazair_01.png | Nome PDF: R3187 | Dim: 391x984px | CS: DeviceRGB
Pag160_L160_Elgan di Verden_01.png | Nome PDF: R3214 | Dim: 390x984px | CS: DeviceRGB
Pag161_L161_Francesca Findabair_01.png | Nome PDF: R3241 | Dim: 391x985px | CS: DeviceRGB
Pag162_L162_Fringilla Vigo_01.png | Nome PDF: R3257 | Dim: 802x203px | CS: DeviceRGB
Pag162_L162_Fringilla Vigo_02.png | Nome PDF: R3260 | Dim: 391x579px | CS: DeviceRGB
Pag163_L163_Istredd_01.png | Nome PDF: R3276 | Dim: 802x201px | CS: DeviceRGB
Pag163_L163_Istredd_02.png | Nome PDF: R3279 | Dim: 392x955px | CS: DeviceRGB
Pag164_L164_Keira Metz_01.png | Nome PDF: R3297 | Dim: 391x986px | CS: DeviceRGB
Pag165_L165_Margarita Laux-Antille_01.png | Nome PDF: R3312 | Dim: 392x957px | CS: DeviceRGB
Pag166_L166_Philippa Eilhart_01.png | Nome PDF: R3324 | Dim: 392x986px | CS: DeviceRGB
Pag167_L167_Sile de Tancarville_01.png | Nome PDF: R3339 | Dim: 391x986px | CS: DeviceRGB
Pag168_L168_Stregobor di Kovir_01.png | Nome PDF: R3354 | Dim: 391x608px | CS: DeviceRGB
Pag169_L169_Xarthisius_01.png | Nome PDF: R3366 | Dim: 392x581px | CS: DeviceRGB
Pag170_L170_Una Clausola Vincolante_01.png | Nome PDF: R3386 | Dim: 1227x773px | CS: DeviceRGB
Pag173_L173_Una Clausola Vincolante_01.png | Nome PDF: R3423 | Dim: 389x503px | CS: DeviceRGB
Pag173_L173_Una Clausola Vincolante_02.png | Nome PDF: R3424 | Dim: 389x503px | CS: DeviceRGB
Pag174_L174_Una Clausola Vincolante_01.png | Nome PDF: R3437 | Dim: 608x391px | CS: DeviceRGB
Pag175_L175_Una Clausola Vincolante_01.png | Nome PDF: R3452 | Dim: 458x387px | CS: DeviceRGB
Pag177_L177_Una Clausola Vincolante_01.png | Nome PDF: R3481 | Dim: 395x803px | CS: DeviceRGB
Pag177_L177_Una Clausola Vincolante_02.png | Nome PDF: R3484 | Dim: 321x803px | CS: DeviceRGB
Pag178_L178_Una Clausola Vincolante_01.png | Nome PDF: R3499 | Dim: 381x803px | CS: DeviceRGB
Pag179_L179_Una Clausola Vincolante_01.png | Nome PDF: R3514 | Dim: 599x1362px | CS: DeviceRGB
Pag179_L179_Una Clausola Vincolante_02.png | Nome PDF: R3515 | Dim: 429x525px | CS: DeviceRGB
Pag180_L180_Una Clausola Vincolante_01.png | Nome PDF: R3530 | Dim: 252x803px | CS: DeviceRGB
Pag180_L180_Una Clausola Vincolante_02.png | Nome PDF: R3533 | Dim: 244x803px | CS: DeviceRGB
Pag181_L181_Una Clausola Vincolante_01.png | Nome PDF: R3548 | Dim: 211x803px | CS: DeviceRGB
Pag181_L181_Una Clausola Vincolante_02.png | Nome PDF: R3551 | Dim: 490x803px | CS: DeviceRGB
Pag182_L182_Una Clausola Vincolante_01.png | Nome PDF: R3566 | Dim: 424x803px | CS: DeviceRGB
Pag183_L183_Una Clausola Vincolante_01.png | Nome PDF: R3581 | Dim: 203x803px | CS: DeviceRGB
Pag183_L183_Una Clausola Vincolante_02.png | Nome PDF: R3584 | Dim: 173x803px | CS: DeviceRGB
Pag183_L183_Una Clausola Vincolante_03.png | Nome PDF: R3587 | Dim: 149x803px | CS: DeviceRGB
Pag184_L184_Una Clausola Vincolante_01.png | Nome PDF: R3602 | Dim: 372x388px | CS: DeviceRGB
Pag185_L185_Una Clausola Vincolante_01.png | Nome PDF: R3617 | Dim: 1226x680px | CS: DeviceRGB
Pag185_L185_Una Clausola Vincolante_02.png | Nome PDF: R3618 | Dim: 468x803px | CS: DeviceRGB
Pag186_L186_Una Clausola Vincolante_01.png | Nome PDF: R3633 | Dim: 426x525px | CS: DeviceRGB
Pag186_L186_Una Clausola Vincolante_02.png | Nome PDF: R3636 | Dim: 372x525px | CS: DeviceRGB
Pag186_L186_Una Clausola Vincolante_03.png | Nome PDF: R3641 | Dim: 292x525px | CS: DeviceRGB
Pag187_L187_Una Clausola Vincolante_01.png | Nome PDF: R3656 | Dim: 414x803px | CS: DeviceRGB
Pag187_L187_Una Clausola Vincolante_02.png | Nome PDF: R3659 | Dim: 197x803px | CS: DeviceRGB
Pag188_L188_Una Clausola Vincolante_01.png | Nome PDF: R3674 | Dim: 652x392px | CS: DeviceRGB
Pag189_L189_Una Clausola Vincolante_01.png | Nome PDF: R3689 | Dim: 292x803px | CS: DeviceRGB
Pag189_L189_Una Clausola Vincolante_02.png | Nome PDF: R3692 | Dim: 180x803px | CS: DeviceRGB
Pag190_L190_Una Clausola Vincolante_01.png | Nome PDF: R3707 | Dim: 614x987px | CS: DeviceRGB
Pag190_L190_Una Clausola Vincolante_02.png | Nome PDF: R3708 | Dim: 598x525px | CS: DeviceRGB
Pag191_L191_Una Clausola Vincolante_01.png | Nome PDF: R3723 | Dim: 5x987px | CS: DeviceRGB
Pag191_L191_Una Clausola Vincolante_02.png | Nome PDF: R3724 | Dim: 575x803px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_01.png | Nome PDF: R3792 | Dim: 803x1019px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_02.png | Nome PDF: R3793 | Dim: 173x260px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_03.png | Nome PDF: R3794 | Dim: 260x178px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_04.png | Nome PDF: R3797 | Dim: 358x260px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_05.png | Nome PDF: R3798 | Dim: 333x256px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_06.png | Nome PDF: R3801 | Dim: 93x260px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_07.png | Nome PDF: R3802 | Dim: 256x92px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_08.png | Nome PDF: R3805 | Dim: 64x260px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_09.png | Nome PDF: R3806 | Dim: 256x64px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_10.png | Nome PDF: R3809 | Dim: 77x260px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_11.png | Nome PDF: R3810 | Dim: 256x77px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_12.png | Nome PDF: R3813 | Dim: 224x260px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_13.png | Nome PDF: R3814 | Dim: 221x256px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_14.png | Nome PDF: R3817 | Dim: 122x398px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_15.png | Nome PDF: R3818 | Dim: 394x122px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_16.png | Nome PDF: R3821 | Dim: 208x1088px | CS: DeviceGray
Pag196_L196_Amalgama di Corpi_17.png | Nome PDF: R3827 | Dim: 152x997px | CS: DeviceGray
Pag196_L196_Amalgama di Corpi_18.png | Nome PDF: R3828 | Dim: 152x997px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_19.png | Nome PDF: R3829 | Dim: 157x164px | CS: DeviceGray
Pag196_L196_Amalgama di Corpi_20.png | Nome PDF: R3830 | Dim: 157x164px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_21.png | Nome PDF: R3831 | Dim: 238x120px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_22.png | Nome PDF: R3832 | Dim: 120x238px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_23.png | Nome PDF: R3835 | Dim: 210x116px | CS: DeviceRGB
Pag196_L196_Amalgama di Corpi_24.png | Nome PDF: R3836 | Dim: 116x209px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_01.png | Nome PDF: R3851 | Dim: 101x1088px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_02.png | Nome PDF: R3852 | Dim: 1083x101px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_03.png | Nome PDF: R3855 | Dim: 177x529px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_04.png | Nome PDF: R3856 | Dim: 525x177px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_05.png | Nome PDF: R3863 | Dim: 262x529px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_06.png | Nome PDF: R3864 | Dim: 525x261px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_07.png | Nome PDF: R3867 | Dim: 319x529px | CS: DeviceRGB
Pag197_L197_Amalgama di Corpi_08.png | Nome PDF: R3868 | Dim: 525x318px | CS: DeviceRGB
Pag198_L198_Armatura Vivente_01.png | Nome PDF: R3884 | Dim: 803x1019px | CS: DeviceRGB
Pag198_L198_Armatura Vivente_02.png | Nome PDF: R3891 | Dim: 55x260px | CS: DeviceRGB
Pag198_L198_Armatura Vivente_03.png | Nome PDF: R3892 | Dim: 256x55px | CS: DeviceRGB
Pag198_L198_Armatura Vivente_04.png | Nome PDF: R3895 | Dim: 245x260px | CS: DeviceRGB
Pag198_L198_Armatura Vivente_05.png | Nome PDF: R3896 | Dim: 241x256px | CS: DeviceRGB
Pag198_L198_Armatura Vivente_06.png | Nome PDF: R3900 | Dim: 157x164px | CS: DeviceRGB
Pag199_L199_Armatura Vivente_01.png | Nome PDF: R3921 | Dim: 176x529px | CS: DeviceRGB
Pag199_L199_Armatura Vivente_02.png | Nome PDF: R3922 | Dim: 525x176px | CS: DeviceRGB
Pag199_L199_Armatura Vivente_03.png | Nome PDF: R3925 | Dim: 261x529px | CS: DeviceRGB
Pag199_L199_Armatura Vivente_04.png | Nome PDF: R3926 | Dim: 525x260px | CS: DeviceRGB
Pag200_L200_Bes_01.png | Nome PDF: R3940 | Dim: 803x1019px | CS: DeviceRGB
Pag200_L200_Bes_02.png | Nome PDF: R3943 | Dim: 292x260px | CS: DeviceRGB
Pag200_L200_Bes_03.png | Nome PDF: R3944 | Dim: 260x287px | CS: DeviceRGB
Pag201_L201_Bes_01.png | Nome PDF: R3961 | Dim: 403x529px | CS: DeviceRGB
Pag201_L201_Bes_02.png | Nome PDF: R3962 | Dim: 529x399px | CS: DeviceRGB
Pag202_L202_Casglydd_01.png | Nome PDF: R3980 | Dim: 803x1019px | CS: DeviceRGB
Pag202_L202_Casglydd_02.png | Nome PDF: R3981 | Dim: 417x260px | CS: DeviceRGB
Pag202_L202_Casglydd_03.png | Nome PDF: R3982 | Dim: 387x260px | CS: DeviceRGB
Pag202_L202_Casglydd_04.png | Nome PDF: R3987 | Dim: 219x260px | CS: DeviceRGB
Pag202_L202_Casglydd_05.png | Nome PDF: R3988 | Dim: 260x215px | CS: DeviceRGB
Pag202_L202_Casglydd_06.png | Nome PDF: R3997 | Dim: 202x260px | CS: DeviceRGB
Pag202_L202_Casglydd_07.png | Nome PDF: R3998 | Dim: 198x256px | CS: DeviceRGB
Pag203_L203_Casglydd_01.png | Nome PDF: R4013 | Dim: 167x529px | CS: DeviceRGB
Pag203_L203_Casglydd_02.png | Nome PDF: R4014 | Dim: 525x167px | CS: DeviceRGB
Pag203_L203_Casglydd_03.png | Nome PDF: R4019 | Dim: 375x529px | CS: DeviceRGB
Pag203_L203_Casglydd_04.png | Nome PDF: R4020 | Dim: 529x371px | CS: DeviceRGB
Pag203_L203_Casglydd_05.png | Nome PDF: R4023 | Dim: 369x529px | CS: DeviceRGB
Pag203_L203_Casglydd_06.png | Nome PDF: R4024 | Dim: 529x370px | CS: DeviceRGB
Pag204_L204_Grande Orso_01.png | Nome PDF: R4040 | Dim: 803x1020px | CS: DeviceRGB
Pag204_L204_Grande Orso_02.png | Nome PDF: R4041 | Dim: 329x260px | CS: DeviceRGB
Pag204_L204_Grande Orso_03.png | Nome PDF: R4042 | Dim: 304x256px | CS: DeviceRGB
Pag204_L204_Grande Orso_04.png | Nome PDF: R4047 | Dim: 184x260px | CS: DeviceRGB
Pag204_L204_Grande Orso_05.png | Nome PDF: R4048 | Dim: 260x180px | CS: DeviceRGB
Pag204_L204_Grande Orso_06.png | Nome PDF: R4057 | Dim: 198x256px | CS: DeviceRGB
Pag205_L205_Grande Orso_01.png | Nome PDF: R4072 | Dim: 1156x353px | CS: DeviceGray
Pag205_L205_Grande Orso_02.png | Nome PDF: R4077 | Dim: 331x1099px | CS: DeviceGray
Pag205_L205_Grande Orso_03.png | Nome PDF: R4078 | Dim: 331x1099px | CS: DeviceRGB
Pag205_L205_Grande Orso_04.png | Nome PDF: R4079 | Dim: 140x1088px | CS: DeviceRGB
Pag205_L205_Grande Orso_05.png | Nome PDF: R4080 | Dim: 1083x139px | CS: DeviceRGB
Pag205_L205_Grande Orso_06.png | Nome PDF: R4083 | Dim: 178x1088px | CS: DeviceRGB
Pag205_L205_Grande Orso_07.png | Nome PDF: R4084 | Dim: 1083x178px | CS: DeviceRGB
Pag206_L206_Mari Lwyd_01.png | Nome PDF: R4098 | Dim: 803x1019px | CS: DeviceRGB
Pag206_L206_Mari Lwyd_02.png | Nome PDF: R4107 | Dim: 269x260px | CS: DeviceRGB
Pag206_L206_Mari Lwyd_03.png | Nome PDF: R4108 | Dim: 265x256px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_01.png | Nome PDF: R4123 | Dim: 205x529px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_02.png | Nome PDF: R4124 | Dim: 525x205px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_03.png | Nome PDF: R4129 | Dim: 206x529px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_04.png | Nome PDF: R4130 | Dim: 525x205px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_05.png | Nome PDF: R4133 | Dim: 176x1088px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_06.png | Nome PDF: R4134 | Dim: 1083x176px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_07.png | Nome PDF: R4137 | Dim: 318x529px | CS: DeviceRGB
Pag207_L207_Mari Lwyd_08.png | Nome PDF: R4138 | Dim: 525x317px | CS: DeviceRGB
Pag208_L208_Penitente_01.png | Nome PDF: R4154 | Dim: 803x1020px | CS: DeviceRGB
Pag208_L208_Penitente_02.png | Nome PDF: R4157 | Dim: 185x260px | CS: DeviceRGB
Pag208_L208_Penitente_03.png | Nome PDF: R4158 | Dim: 260x181px | CS: DeviceRGB
Pag209_L209_Penitente_01.png | Nome PDF: R4179 | Dim: 139x1088px | CS: DeviceRGB
Pag209_L209_Penitente_02.png | Nome PDF: R4180 | Dim: 1083x139px | CS: DeviceRGB
Pag210_L210_Componenti e Mutageni_01.png | Nome PDF: R4208 | Dim: 59x113px | CS: DeviceGray
Pag210_L210_Componenti e Mutageni_02.png | Nome PDF: R4213 | Dim: 59x113px | CS: DeviceRGB
Pag210_L210_Componenti e Mutageni_03.png | Nome PDF: R4222 | Dim: 227x803px | CS: DeviceRGB
Pag210_L210_Componenti e Mutageni_04.png | Nome PDF: R4225 | Dim: 103x803px | CS: DeviceRGB
Pag210_L210_Componenti e Mutageni_05.png | Nome PDF: R4228 | Dim: 18x18px | CS: DeviceGray
Pag210_L210_Componenti e Mutageni_06.png | Nome PDF: R4229 | Dim: 18x18px | CS: DeviceRGB
Pag210_L210_Componenti e Mutageni_07.png | Nome PDF: R4230 | Dim: 18x18px | CS: DeviceGray
Pag210_L210_Componenti e Mutageni_08.png | Nome PDF: R4231 | Dim: 18x18px | CS: DeviceRGB
Pag210_L210_Componenti e Mutageni_09.png | Nome PDF: R4232 | Dim: 18x18px | CS: DeviceGray
Pag210_L210_Componenti e Mutageni_10.png | Nome PDF: R4233 | Dim: 18x18px | CS: DeviceRGB
Pag213_L213_Indice_01.png | Nome PDF: R4584 | Dim: 585x585px | CS: DeviceGray
Pag213_L213_Indice_02.png | Nome PDF: R4588 | Dim: 585x585px | CS: DeviceGray
Pag213_L213_Indice_03.png | Nome PDF: R4589 | Dim: 585x585px | CS: DeviceRGB
Pag214_L214_Indice_01.png | Nome PDF: R4646 | Dim: 1229x1589px | CS: DeviceRGB
Pag215_L215_Indice_01.png | Nome PDF: R4652 | Dim: 1229x1589px | CS: DeviceRGB
Pag216_L216_Indice_01.png | Nome PDF: R4658 | Dim: 1229x1554px | CS: DeviceRGB
Pag216_L216_Indice_02.png | Nome PDF: R4659 | Dim: 655x198px | CS: DeviceGray
Pag216_L216_Indice_03.png | Nome PDF: R4660 | Dim: 655x198px | CS: DeviceRGB
Pag216_L216_Indice_04.png | Nome PDF: R4661 | Dim: 1044x152px | CS: DeviceGray
Pag216_L216_Indice_05.png | Nome PDF: R4667 | Dim: 1229x411px | CS: DeviceRGB
Pag216_L216_Indice_06.png | Nome PDF: R4668 | Dim: 222x105px | CS: DeviceGray
Pag216_L216_Indice_07.png | Nome PDF: R4669 | Dim: 222x105px | CS: DeviceRGB
Pag216_L216_Indice_08.png | Nome PDF: R4670 | Dim: 203x87px | CS: DeviceGray
Pag216_L216_Indice_09.png | Nome PDF: R4671 | Dim: 203x87px | CS: DeviceRGB
Pag216_L216_Indice_10.png | Nome PDF: R4672 | Dim: 210x281px | CS: DeviceRGB
Pag216_L216_Indice_11.png | Nome PDF: R4673 | Dim: 217x281px | CS: DeviceRGB
Pag216_L216_Indice_12.png | Nome PDF: R4674 | Dim: 218x285px | CS: DeviceGray
Pag216_L216_Indice_13.png | Nome PDF: R4675 | Dim: 218x285px | CS: DeviceRGB

--- Lista Completa File ---
Immagini/Pag001_L1_SenzaSezione_01.png
Immagini/Pag001_L1_SenzaSezione_02.png
Immagini/Pag001_L1_SenzaSezione_03.png
Immagini/Pag001_L1_SenzaSezione_04.png
Immagini/Pag001_L1_SenzaSezione_05.png
Immagini/Pag001_L1_SenzaSezione_06.png
Immagini/Pag001_L1_SenzaSezione_07.png
Immagini/Pag001_L1_SenzaSezione_08.png
Immagini/Pag001_L1_SenzaSezione_09.png
Immagini/Pag002_L2_SenzaSezione_01.png
Immagini/Pag002_L2_SenzaSezione_02.png
Immagini/Pag002_L2_SenzaSezione_03.png
Immagini/Pag002_L2_SenzaSezione_04.png
