"Name","Source","Type","File"
"Tasca Segreta","MB 95","item","Tasca_Segreta_3a3fa476fef7faeb.json"
"Tenda Grande","MB 95","item","Tenda_Grande_5d26771501f825a4.json"
"Torcia","MB 95","item","Torcia_0d967751899447df.json"
"Traversata per Mare","MB 95","item","Traversata_per_Mare_7492f6cc710a5fd0.json"
"Vino","MB 95","item","Vino_22be463f18e9472d.json"
"Amuleto Incantato (1 Incantesimo)","TC 117","valuable","Amuleto_Incantato__1_Incantesimo__ef6c48cd2dba2373.json"
"Amuleto Incantato (2 Incantesimi)","TC 117","valuable","Amuleto_Incantato__2_Incantesimi__4d40471f65001a0b.json"
"Amuleto Incantato (3 Incantesimi)","TC 117","valuable","Amuleto_Incantato__3_Incantesimi__4ddf42cb2eab0e0c.json"
"Amuleto Incantato (4 Incantesimi)","TC 117","valuable","Amuleto_Incantato__4_Incantesimi__5bfe48717eebb217.json"
"Portale Fisso","TC 118","valuable","Portale_Fisso_aeb5cfffb10950bb.json"
"Amuleto Incantato","TC 119","valuable","amuleto_incantato_836899b1ea2fa228.json"
"Corda Elfica Magica","TC 119","valuable","corda_elfica_magica_8ebe58d19b416b99.json"
"Formula Magica","TC 119","valuable","formula_magica_9d5d66125aeecbdf.json"
"Legame di Coppia","TC 119","valuable","legame_di_coppia_cef1db19b98c39de.json"
"Megascopio","TC 119","valuable","megascopio_13e42d98e4fcfe05.json"
"Occhio di Nehaleni","TC 119","valuable","occhio_di_nehaleni_a38f3a63ea33f8f4.json"
"Pietra Guardiana: Allarme","TC 119","valuable","pietra_guardiana__allarme_3dec698af9a63db7.json"
"Pietra Guardiana: Arco","TC 119","valuable","pietra_guardiana__arco_0dd83399889c716a.json"
"Pietra Guardiana: Illusione","TC 119","valuable","pietra_guardiana__illusione_cdb9a91dadf23e9b.json"
"Portale Fisso","TC 119","valuable","portale_fisso_29a6b8a3db86850e.json"
"Quadrifoglio","TC 119","valuable","quadrifoglio_795428b64d9a743c.json"
"Specchio dei Desideri","TC 119","valuable","specchio_dei_desideri_fce143f9ec3f31c9.json"
"Teschio di Cristallo","TC 119","valuable","teschio_di_cristallo_98cd7017a1252c93.json"
"Utensili da Incisore Runico","TC 119","valuable","utensili_da_incisore_runico_22de4e9c998b9f35.json"
"Formula Magica (Esperto)","TC 120","valuable","Formula_Magica__Esperto__dec2d46cbdd5ed45.json"
"Formula Magica (Maestro)","TC 120","valuable","Formula_Magica__Maestro__470818480d8243ee.json"
"Formula Magica (Novizio)","TC 120","valuable","Formula_Magica__Novizio__292a1898c199f26a.json"
"Specchio dei Desideri","TC 120","valuable","Specchio_dei_Desideri_b31155f307489d73.json"
"Corda Magica Elfica","TC 121","valuable","Corda_Magica_Elfica_21be542af66442d6.json"
"Occhio di Nehaleni","TC 121","valuable","Occhio_di_Nehaleni_4cd4a6d4be4161ff.json"
"Quadrifoglio","TC 121","valuable","Quadrifoglio_b8d5a8deddba2326.json"
"Teschio di Cristallo","TC 121","valuable","Teschio_di_Cristallo_0aa5157d8eaf0106.json"
"Megascopio","TC 122","valuable","Megascopio_2b8a95090d518ef0.json"
"Utensili da Incisore Runico","TC 122","valuable","Utensili_da_Incisore_Runico_1360a92e422cf1bf.json"
"Legame di Coppia","TC 124","valuable","Legame_di_Coppia_f1d6d9a95e914fa3.json"
"Pietra Allarme (Pietra del Potere)","TC 124","valuable","Pietra_Allarme__Pietra_del_Potere__b5a6c68e3b740061.json"
"Pietra Arco (Pietra del Potere)","TC 124","valuable","Pietra_Arco__Pietra_del_Potere__504739bd969565fb.json"
"Pietra dell'Illusione (Pietra del Potere)","TC 124","valuable","Pietra_dellIllusione__Pietra_del_Potere__8837809dbc898944.json"
