Voce,Stato,Percorso,Pack,Note
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\balestra_dellorso_006d87c91fc31f98.json,witcher-weapons,Nome nel JSON: Balestra dell’Orso
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\spada_dacciaio_dellorso_000d890e417f601d.json,witcher-weapons,Nome nel JSON: Spada d’Acciaio dell’Orso
Orso (bestia),PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\spada_dargento_dellorso_003af6d3fb73c238.json,witcher-weapons,Nome nel JSON: Spada d’Argento dell’Orso
Orso (bestia),PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_dellorso_5581f590a4fd4caf.json,witcher-lore,Nome nel JSON: Scuola dell'Orso
Orso (bestia),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-skills\pronto_soccorso_120ca2cb658c1f01.json,witcher-skills,Nome nel JSON: Pronto Soccorso
Orso (bestia),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Orso_178cc6d9b9e8db20.json,witcher-trophies,Nome nel JSON: Trofeo: Orso
Orso (bestia),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Orso_9665b84d88a34a5d.json,witcher-trophies,Nome nel JSON: Trofeo: Orso
Pantera,PRESENTE_ALTROVE,BESTIARIO\witcher-animals\pantera_70616e746572616c.json,witcher-animals,
Pantera,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Pantera_32ab59706dee4ee7.json,witcher-trophies,Nome nel JSON: Trofeo: Pantera
Pantera,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Pantera_61ddc70544334ce4.json,witcher-trophies,Nome nel JSON: Trofeo: Pantera
Archeospora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\succo_di_archeospora_a2f7c0b8e9d14635.json,witcher-components-diario,Nome nel JSON: Succo di Archeospora
Archeospora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\viticci_di_archeospora_91e3d2a0b4c8f576.json,witcher-components-diario,Nome nel JSON: Viticci di Archeospora
Archeospora,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Archeospora_b3f7102e8a56c9d4.json,witcher-monsters,
Botchling,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\cervello_di_botchling_8a7b6c5d4e3f2019.json,witcher-components-diario,Nome nel JSON: Cervello di Botchling
Botchling,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\orecchio_di_botchling_7ed94f0b2a3c81e6.json,witcher-components-diario,Nome nel JSON: Orecchio di Botchling
Botchling,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\sangue_di_botchling_6f5e4d3c2b1a0987.json,witcher-components-diario,Nome nel JSON: Sangue di Botchling
Botchling,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_botchling_rosso_e230564509220a42.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Botchling (Rosso)
Botchling,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Botchling_e718b2094dc653fa.json,witcher-monsters,
Botchling,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Botchling_3273d45e1f3e09b0.json,witcher-trophies,Nome nel JSON: Trofeo: Botchling
Botchling,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Botchling_37c9da2357e14fbc.json,witcher-trophies,Nome nel JSON: Trofeo: Botchling
Vendigo,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\cuore_di_vendigo_5d4c3b2a10987654.json,witcher-components-diario,Nome nel JSON: Cuore di Vendigo
Vendigo,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\pelliccia_di_vendigo_4e3d2c1b0a987654.json,witcher-components-diario,Nome nel JSON: Pelliccia di Vendigo
Vendigo,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_vendigo_rosso_6f72ca59689aa5ea.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Vendigo (Rosso)
Vendigo,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Vendigo_e4a39bc56f780d12.json,witcher-monsters,
Vendigo,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Vendigo_25aec04c9d2795a3.json,witcher-trophies,Nome nel JSON: Trofeo: Vendigo
Vendigo,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Vendigo_ccd295f49aa74426.json,witcher-trophies,Nome nel JSON: Trofeo: Vendigo
Arpia,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Arpia_1e728fda490563cb.json,witcher-monsters,
Arpia,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\sperone_darpia_0004479d266f425a.json,witcher-weapons,Nome nel JSON: Sperone d'Arpia
Manticora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\corna_di_manticora_1f0e9d8c7b6a5432.json,witcher-components-diario,Nome nel JSON: Corna di Manticora
Manticora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_manticora_rosso_de7ea8b98070b16b.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Manticora (Rosso)
Manticora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_armatura_del_manticora_aedd6699267138f5.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Armatura del Manticora
Manticora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_scudo_del_manticora_409dc7f8f730ae6e.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Scudo del Manticora
Manticora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_spada_dacciaio_del_manticora_c96248758b2c1bce.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Spada d'Acciaio del Manticora
Manticora,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-dlc-sw-schematics\schema_spada_dargento_del_manticora_f19cb95d6b19abfe.json,witcher-dlc-sw-schematics,Nome nel JSON: Schema Spada d'Argento del Manticora
Manticora,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Manticora_16b379d2c05e4f8a.json,witcher-monsters,
Manticora,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-armor\armatura_della_manticora_30b97f6a78e891e4.json,witcher-armor,Nome nel JSON: Armatura della Manticora
Manticora,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\armatura_del_manticora_1ea6704fc274cba2.json,witcher-dlc-sw-equipment,Nome nel JSON: Armatura del Manticora
Manticora,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\scudo_del_manticora_26835e76228868ec.json,witcher-dlc-sw-equipment,Nome nel JSON: Scudo del Manticora
Manticora,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\spada_dacciaio_del_manticora_dff7bafa4619032a.json,witcher-dlc-sw-equipment,Nome nel JSON: Spada d'Acciaio del Manticora
Manticora,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-dlc-sw-equipment\spada_dargento_del_manticora_4789a37890f364ff.json,witcher-dlc-sw-equipment,Nome nel JSON: Spada d'Argento del Manticora
Manticora,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\spada_dacciaio_della_manticora_00c8757ce11b1778.json,witcher-weapons,Nome nel JSON: Spada d’Acciaio della Manticora
Manticora,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\spada_dargento_della_manticora_00ccb4382fba9b98.json,witcher-weapons,Nome nel JSON: Spada d’Argento della Manticora
Manticora,PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_della_manticora_0381b8b3a09d540b.json,witcher-lore,Nome nel JSON: Scuola della Manticora
Manticora,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Manticora_3525ace98585dd8e.json,witcher-trophies,Nome nel JSON: Trofeo: Manticora
Manticora,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Manticora_55da7fb072ac4206.json,witcher-trophies,Nome nel JSON: Trofeo: Manticora
Succube,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_succube_verde_7ed4642d55db4d89.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Succube (Verde)
Succube,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\Formula_Respiro_di_Succube_6a2279968e6674d1.json,witcher-alchemy,Nome nel JSON: Formula: Respiro di Succube
Succube,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\respiro_di_succube_af70f412e3b85cd9.json,witcher-alchemy,Nome nel JSON: Respiro di Succube
Succube,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\succube_incubo_7ed094f23185bc6a.json,witcher-monsters,Nome nel JSON: Succube & Incubo
Succube,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\bacchetta_della_succube_69cad85fd40dc873.json,witcher-weapons,Nome nel JSON: Bacchetta della Succube
Succube,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Succube_12e890dc61674d19.json,witcher-trophies,Nome nel JSON: Trofeo: Succube
Succube,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Succube_44d7307fe4c2141e.json,witcher-trophies,Nome nel JSON: Trofeo: Succube
Incubo,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\succube_incubo_7ed094f23185bc6a.json,witcher-monsters,Nome nel JSON: Succube & Incubo
Incubo,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Maledizioni_e_Fatture\witcher-hexes-base\lincubo_69c35b7d033740fc.json,witcher-hexes-base,Nome nel JSON: L'Incubo
Barbegazi,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Barbegazi_e8ad2614f03759cb.json,witcher-monsters,
Frightener,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_frightener_verde_36e5f3c35127062e.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Frightener (Verde)
Frightener,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Frightener_4fb21c96538da7e0.json,witcher-monsters,
Frightener,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Frightener_9f34bf6308df4db4.json,witcher-trophies,Nome nel JSON: Trofeo: Frightener
Frightener,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Frightener_f3e465c34bd3280f.json,witcher-trophies,Nome nel JSON: Trofeo: Frightener
Scolopendra Gigante,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Scolopendra_Gigante_ea4189d5603b2c7f.json,witcher-monsters,
Elementali (vari),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\pietra_elementale_6b5a43210f9e8d7c.json,witcher-components-diario,Nome nel JSON: Pietra Elementale
Elementali (vari),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_elementale_blu_2464a9a9a85e607e.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Elementale (Blu)
Elementali (vari),PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\Formula_Olio_Anti-Elementali_wo_.json,witcher-alchemy,Nome nel JSON: Formula: Olio Anti-Elementali
Elementali (vari),PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Elementale_di_Fuoco_0b1a8754f3c2e96d.json,witcher-monsters,Nome nel JSON: Elementale di Fuoco
Elementali (vari),PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Elementale_di_Ghiaccio_b326af7c5e18490d.json,witcher-monsters,Nome nel JSON: Elementale di Ghiaccio
Elementali (vari),PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Elementale_di_Terra_279c64d03ebf1a85.json,witcher-monsters,Nome nel JSON: Elementale di Terra
Elementali (vari),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Elementale_2595fc12d1dd4c0c.json,witcher-trophies,Nome nel JSON: Trofeo: Elementale
Elementali (vari),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Elementale_67000b8af024fd04.json,witcher-trophies,Nome nel JSON: Trofeo: Elementale
Elementali (vari),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Elementale_97a3d63632854a98.json,witcher-trophies,Nome nel JSON: Trofeo: Elementale
Elementali (vari),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Elementale_98cae0cec2de53fd.json,witcher-trophies,Nome nel JSON: Trofeo: Elementale
Elementali (vari),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Elementale_a24fd3e640b540d6.json,witcher-trophies,Nome nel JSON: Trofeo: Elementale
Elementali (vari),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Elementale_d104e90b57034784.json,witcher-trophies,Nome nel JSON: Trofeo: Elementale
Godling,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Godling_ea0b462d9f5871c3.json,witcher-monsters,
Leshen,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_leshen_blu_cfe2d09516f47440.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Leshen (Blu)
Leshen,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Leshen_d25be16a30987c4f.json,witcher-monsters,
Leshen,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Leshen_071170d10b9ce751.json,witcher-trophies,Nome nel JSON: Trofeo: Leshen
Leshen,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Leshen_5563748bcd424f45.json,witcher-trophies,Nome nel JSON: Trofeo: Leshen
Shaelmaar,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_shaelmaar_verde_22270d7a24b0f5fb.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Shaelmaar (Verde)
Shaelmaar,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Shaelmaar_c6f108bd53ae4729.json,witcher-monsters,
Shaelmaar,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Shaelmaar_4842886a875d79f8.json,witcher-trophies,Nome nel JSON: Trofeo: Shaelmaar
Shaelmaar,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Shaelmaar_f8f74feed6804447.json,witcher-trophies,Nome nel JSON: Trofeo: Shaelmaar
Battiroccia,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Battiroccia_52f91a6ec3074bd8.json,witcher-monsters,
Ciclope,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Ciclope_a2894b75360efc1d.json,witcher-monsters,
Ciclope,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Ciclope_0bde0052adcdbbbd.json,witcher-trophies,Nome nel JSON: Trofeo: Ciclope
Ciclope,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Ciclope_1b435ac7734e48e7.json,witcher-trophies,Nome nel JSON: Trofeo: Ciclope
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_troll_verde_ae4a3663fa357bf6.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Troll (Verde)
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\fegato_di_troll_aaef22a7a49685dc.json,witcher-alchemy,Nome nel JSON: Fegato di Troll
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\fegato_di_troll_c70915dff74c445f.json,witcher-alchemy,Nome nel JSON: Fegato di Troll
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\Formula_Decotto_di_Troll_dec_.json,witcher-alchemy,Nome nel JSON: Formula: Decotto di Troll
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\pelle_di_troll_1e79d5bc739f4805.json,witcher-alchemy,Nome nel JSON: Pelle di Troll
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\pelle_di_troll_b87bed0362fd0ced.json,witcher-alchemy,Nome nel JSON: Pelle di Troll
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Mutageni\witcher-mutations\mutageno_del_troll_di_roccia_8c28bcd4a584d729.json,witcher-mutations,Nome nel JSON: Mutageno del Troll di Roccia
Troll,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Mutageni\witcher-mutazioni-tc\regola_mutazione_mantenere_controllo_15255e2b2d47bb07.json,witcher-mutazioni-tc,Nome nel JSON: Regola Mutazione: Mantenere Controllo
Troll,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Troll_48a5d21bf7c06e93.json,witcher-monsters,
Troll,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Troll_di_Roccia_aad7dc7659774d5b.json,witcher-monsters,Nome nel JSON: Troll di Roccia
Troll,PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Attrezzatura_e_Oggetti\witcher-special\decotto_di_troll_305e5eb931330f7c.json,witcher-special,Nome nel JSON: Decotto di Troll
Troll,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Doni_del_Caos\witcher-goetia\evocazione_controllata_6bf8953ebcbecad4.json,witcher-goetia,Nome nel JSON: Evocazione Controllata
Troll,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Doni_del_Caos\witcher-goetia\evocazione_incontrollata_c23c883585706c8b.json,witcher-goetia,Nome nel JSON: Evocazione Incontrollata
Troll,PRESENTE_ALTROVE,MAGIA_E_MALEDIZIONI\Incantesimi_e_Rituali\witcher-spells\Controllare_Acque_69c73fb2a4d44e77.json,witcher-spells,Nome nel JSON: Controllare Acque
Troll,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Troll_8e677a18869d4d9d.json,witcher-trophies,Nome nel JSON: Trofeo: Troll
Troll,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Troll_d15fe0a1b3d24ffc.json,witcher-trophies,Nome nel JSON: Trofeo: Troll
Troll,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Troll_d180ae4328590a26.json,witcher-trophies,Nome nel JSON: Trofeo: Troll
Troll,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Troll_fd8f3581ae216748.json,witcher-trophies,Nome nel JSON: Trofeo: Troll
Cockatrice,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\carapace_di_cockatrice_9e8d7c6b5a43210f.json,witcher-components-diario,Nome nel JSON: Carapace di Cockatrice
Cockatrice,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\piume_della_coda_di_cockatrice_3f2e1d0c9b8a7654.json,witcher-components-diario,Nome nel JSON: Piume della Coda di Cockatrice
Cockatrice,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_cockatrice_rosso_02b6b922a3e8ddae.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Cockatrice (Rosso)
Cockatrice,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Cockatrice_345c27df89b0a6e1.json,witcher-monsters,
Cockatrice,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Cockatrice_c6154ef5d8c34bfe.json,witcher-trophies,Nome nel JSON: Trofeo: Cockatrice
Cockatrice,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Cockatrice_c62f11f3b93c7d0e.json,witcher-trophies,Nome nel JSON: Trofeo: Cockatrice
Fenice,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-diario\ceneri_di_fenice_2f1e0d9c8b7a6543.json,witcher-components-diario,Nome nel JSON: Ceneri di Fenice
Fenice,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_fenice_rosso_6d5e24bcc76b8451.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Fenice (Rosso)
Fenice,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Fenice_395027d6cbea148f.json,witcher-monsters,
Fenice,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Fenice_0416e34f713f47bb.json,witcher-trophies,Nome nel JSON: Trofeo: Fenice
Fenice,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Fenice_b4bba3ee8f235516.json,witcher-trophies,Nome nel JSON: Trofeo: Fenice
Scaltrocertola,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Scaltrocertola_31e65a29f7d048bc.json,witcher-monsters,
Scaltrocertola,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Scaltrocertola_140388cb1e622884.json,witcher-trophies,Nome nel JSON: Trofeo: Scaltrocertola
Scaltrocertola,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Scaltrocertola_e22f4aae08a44702.json,witcher-trophies,Nome nel JSON: Trofeo: Scaltrocertola
Bruxa,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_bruxa_blu_9896ad4010e264a9.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Bruxa (Blu)
Bruxa,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Bruxa_39f04128bca6d5e7.json,witcher-monsters,
Bruxa,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Bruxa_30d16057087f4259.json,witcher-trophies,Nome nel JSON: Trofeo: Bruxa
Bruxa,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Bruxa_34893db4d3605195.json,witcher-trophies,Nome nel JSON: Trofeo: Bruxa
Garkain,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components-mutageni-dw\mutageno_garkain_verde_68ac464d20c3f0ca.json,witcher-components-mutageni-dw,Nome nel JSON: Mutageno: Garkain (Verde)
Garkain,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Garkain_e4d1b092f7c638a5.json,witcher-monsters,
Garkain,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Garkain_504e89e9f5ba473c.json,witcher-trophies,Nome nel JSON: Trofeo: Garkain
Garkain,PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Trofei\witcher-trophies\Trofeo_Garkain_fa46041ec51c5b71.json,witcher-trophies,Nome nel JSON: Trofeo: Garkain
Plumard,PRESENTE_ALTROVE,BESTIARIO\witcher-monsters\Plumard_d2b7c4a0398f6e15.json,witcher-monsters,
Veri Draghi (Background),MANCANTE,,,Non trovato nel nome dei JSON
Vampiri Superiori (Background),MANCANTE,,,Non trovato nel nome dei JSON
Gnomi (razza),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\gnomo_4c5dd5d31d65b8c9.json,witcher-races,Nome nel JSON: Gnomo
Vran (razza),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\vran_8985f8336402176c.json,witcher-races,Nome nel JSON: Vran
Vran (razza),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-skills\sovranita_divina_e8f9a0b1c2d3e4f5.json,witcher-skills,Nome nel JSON: Sovranità Divina
Bobolak (razza),PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Professioni_e_Abilita\witcher-races\bobolak_5585e6301c871756.json,witcher-races,Nome nel JSON: Bobolak
Dandelion Flagello di Draghi e Donzelle,MANCANTE,,,Non trovato nel nome dei JSON
Equipaggiamento Scuola del Lupo,MANCANTE,,,Non trovato nel nome dei JSON
Equipaggiamento Scuola dell'Orso,MANCANTE,,,Non trovato nel nome dei JSON
Equipaggiamento Scuola della Manticora,MANCANTE,,,Non trovato nel nome dei JSON
Equipaggiamento Scuola del Gatto,MANCANTE,,,Non trovato nel nome dei JSON
Equipaggiamento Scuola del Grifone,MANCANTE,,,Non trovato nel nome dei JSON
